tiktok_video_id,content_link,video_title,publish_day,publish_month,publish_year,duration,likes,shares,comments_added,views,saves,sound_used,post_type,,,,,,
tkvid_182,https:::www.tiktok.com:@thesugarcaneph:video:7226935054541262086?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"𝐏𝐚𝐚𝐥𝐚𝐦, 𝐋𝐞𝐨𝐧𝐨𝐫𝐚 - OUT NOW ON SPOTIFY & YOUTUBE!",28,4,2023,0:00:26,100600,1155,576,604600,8019,"Paalam, Leonora",video,,,,,,
tkvid_183,https:::www.tiktok.com:@thesugarcaneph:video:7227022381921864965?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"The right way to say goodbye. Paalam, Leonora — Stream on Spotify",28,4,2023,0:01:20,9215,143,190,93500,753,"Paalam, Leonora",video,,,,,,
tkvid_184,https:::www.tiktok.com:@thesugarcaneph:video:7227308507010223366?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"“𝑷𝒂𝒂𝒍𝒂𝒎, 𝑳𝒆𝒐𝒏𝒐𝒓𝒂” – 𝑶𝒖𝒕 𝒐𝒏 𝑺𝒑𝒐𝒕𝒊𝒇𝒚 🫶🏻 𝑹𝒆𝒂𝒅𝒚 𝒌𝒂 𝒏𝒂 𝒃𝒂 𝒎𝒂𝒔𝒂𝒌𝒕𝒂𝒏?",29,4,2023,0:00:30,23000,297,176,138300,1649,"Paalam, Leonora",video,,,,,,
tkvid_185,https:::www.tiktok.com:@thesugarcaneph:video:7227408149983153413?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Kung Maging Akin Ka | Garden Sessions,29,4,2023,0:01:27,9309,372,204,76200,741,Original Sound,video,,,,,,
tkvid_186,https:::www.tiktok.com:@thesugarcaneph:photo:7227421730921303301?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"""Leonora"" hits 1M streams, a month from its release!!",29,4,2023,0:00:00,4059,12,177,31200,162,Leonora,photo,,,,,,
tkvid_187,https:::www.tiktok.com:@thesugarcaneph:video:7227725272408165638?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,The acoustic rendition of “Leonora”. Stream now on Spotify!,30,4,2023,0:00:39,2534,87,75,47100,216,"Paalam, Leonora",video,,,,,,
tkvid_188,https:::www.tiktok.com:@thesugarcaneph:video:7227810762046196997?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Ito na finally 🫶,30,4,2023,0:00:14,50200,745,326,507800,6447,Leonora,video,,,,,,
tkvid_189,https:::www.tiktok.com:@thesugarcaneph:video:7228472495098055942?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"Gunita — A song dedicated for the memories that we once shared with people that mattered to us most sometime in our lives, but can now only be relived through reminiscing.",2,5,2023,0:02:10,1328,31,122,28400,133,Gunita,video,,,,,,
tkvid_190,https:::www.tiktok.com:@thesugarcaneph:video:7228532221613853957?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"Stream “Paalam, Leonora” on Spotify 🥰",2,5,2023,0:00:53,2539,47,76,60800,190,"Paalam, Leonora",video,,,,,,
tkvid_191,https:::www.tiktok.com:@thesugarcaneph:video:7228894868385369349?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"Stream ""Leonora"" on spotify 🫶 Edit by: @hxste",3,5,2023,0:00:33,2037,101,45,24500,216,Leonora,video,,,,,,
tkvid_192,https:::www.tiktok.com:@thesugarcaneph:video:7229181302568701190?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,💔 😭,4,5,2023,0:00:31,1505,61,20,22000,154,Leonora,video,,,,,,
tkvid_193,https:::www.tiktok.com:@thesugarcaneph:video:7229259894484995334?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,idol niyo pagod na,4,5,2023,0:00:21,58500,1695,579,280900,2920,Original Sound,video,,,,,,
tkvid_194,https:::www.tiktok.com:@thesugarcaneph:video:7229642816748653829?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Serenading kween,5,5,2023,0:00:16,30300,1019,176,166900,1842,Leonora,video,,,,,,
tkvid_195,https:::www.tiktok.com:@thesugarcaneph:video:7229906229093518598?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Nakastream na ba lahat? 🥺,6,5,2023,0:00:28,2316,39,36,28300,161,"Paalam, Leonora",video,,,,,,
tkvid_196,https:::www.tiktok.com:@thesugarcaneph:video:7230391164971519237?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Nakapanood na ba lahat ng Music Video ng “Leonora”?,7,5,2023,0:00:15,1625,14,17,27700,107,Leonora,video,,,,,,
tkvid_197,https:::www.tiktok.com:@thesugarcaneph:video:7230738245271784709?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Kung Maging Akin Ka 💕,8,5,2023,0:00:27,1032,42,36,23000,123,Kung Maging Akin Ka,video,,,,,,
tkvid_198,https:::www.tiktok.com:@thesugarcaneph:video:7231072755456724230?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Mahal parin kita challenge - SUGARCANE edition,9,5,2023,0:02:45,89400,2524,984,1400000,11700,Original Sound,video,,,,,,
tkvid_199,https:::www.tiktok.com:@thesugarcaneph:video:7231395353122147589?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"Timelapse of the creation of “Paalam, Leonora”’s single art by Felix Gasmen 🤍 IG: @artsbyfelix",10,5,2023,0:00:30,34700,462,52,218800,3197,"Paalam, Leonora",video,,,,,,
